Titel  - http://www.opendatakaart.nl/catalogus/datasets/datasets_dataset/t/kantorenleegstand_2013	titel_key	externe_id	datum	adres	postcode	omschrijving	locatie	url	plaats	type	gemeente	Nr	naam gebouw	adres_2	Bouwjaar	bvo	leeg/vrijkomend	jaar leeg		Website
damrak 28-30	damrak_28_30_1		0000-00-00 00:00:00	damrak 28-30			POINT(4.8967869 52.3761956)		amsterdam 		amsterdam 	1	de Utrecht	damrak 28-30		2000	2000	5-7	100%	"http://www.eefjevoogd.nl/projecten/damrak_de_utrecht__huren__centrum_
"
damrak 66	damrak_66_1		0000-00-00 00:00:00	damrak 66			POINT(4.8948908 52.3747534)		amsterdam 		amsterdam 	2		damrak 66		1500	1500	2-7	100%	"http://rijnboutt.nl/projects/268
"
dam 23-31	dam_23_31_1		0000-00-00 00:00:00	dam 23-31			POINT(4.8932335 52.3726311)		amsterdam 		amsterdam 	3	industria	dam 23-31		3600	2100	2-5	58%	"http://rijnboutt.nl/articles/666
"
sint pietershalsteeg 3-5	sint_pietershalsteeg_3_5_1		0000-00-00 00:00:00	sint pietershalsteeg 3-5			POINT(4.8942185 52.371292)		amsterdam 		amsterdam 	4		sint pietershalsteeg 3-5		3500	3500	2-3	100%	"http://www.deskowitz.com/toplocatie/?c=Dam
"
spuistraat 175	spuistraat_175		0000-00-00 00:00:00	spuistraat 175			POINT(4.8897732 52.3727727)		amsterdam 		amsterdam 	6		spuistraat 175		8300	8300	5-6	100%	"
"
dam 17-21/hermietenstraat 1-5	dam_17_21_hermietenstraat_1_5		0000-00-00 00:00:00	dam 17-21/hermietenstraat 1-5			POINT(4.8937578 52.3723131)		amsterdam 		amsterdam 	7	instantia	dam 17-21/hermietenstraat 1-5		2000	2000	5-6	100%	"
"
herengracht 280	herengracht_280_1		0000-00-00 00:00:00	herengracht 280			POINT(4.8868676 52.3708051)		amsterdam 		amsterdam 	8		herengracht 280	1720	1200	1000	10-11	80%	"
"
prinsengracht 432 - 436	prinsengracht_432_436		0000-00-00 00:00:00	prinsengracht 432 - 436			POINT(4.8830457 52.3708148)		amsterdam 		amsterdam 	12	Paleis van Justitie	prinsengracht 432 - 436	1825	15000	15	vrijk	100%	"
"
huidekoperstraat 26-28/pieter pauwstraat 7-15	huidekoperstraat_26_28_pieter_pauwstraat_7_15		0000-00-00 00:00:00	huidekoperstraat 26-28/pieter pauwstraat 7-15			POINT(4.8974498 52.3584424)		amsterdam 		amsterdam 	28		huidekoperstraat 26-28/pieter pauwstraat 7-15	1975	3400	3400	3-4	100%	"
"
herengracht 571	herengracht_571_1		0000-00-00 00:00:00	herengracht 571			POINT(4.8966644 52.3651483)		amsterdam 		amsterdam 	39	swanenburch	herengracht 571		1200	1200	7-8	100%	"
"
herengracht 598-600/amstel 214	herengracht_598_600_amstel_214		0000-00-00 00:00:00	herengracht 598-600/amstel 214			POINT(4.9004578 52.3654542)		amsterdam 		amsterdam 	41	de drieling	herengracht 598-600/amstel 214		1900	1900	2-3	100%	"
"
keizersgracht 610	keizersgracht_610_1		0000-00-00 00:00:00	keizersgracht 610			POINT(4.8901137 52.3639313)		amsterdam 		amsterdam 	42		keizersgracht 610		1000	1000	6-7	100%	"
"
keizersgracht 617-629	keizersgracht_617_629_1		0000-00-00 00:00:00	keizersgracht 617-629			POINT(4.8939706 52.3638659)		amsterdam 		amsterdam 	43	keizerhof	keizersgracht 617-629	1912	4600	4600	vrijk	100%	"
"
singel 542-548/reguliersdwarsstraat 75	singel_542_548_reguliersdwarsstraat_75		0000-00-00 00:00:00	singel 542-548/reguliersdwarsstraat 75			POINT(4.8927242 52.366233)		amsterdam 		amsterdam 	44	muntstaete	singel 542-548/reguliersdwarsstraat 75	1964	11500	9700	vrijk	84%	"
"
maassluisstraat 414-416	maassluisstraat_414_416_1		0000-00-00 00:00:00	maassluisstraat 414-416			POINT(4.8352551 52.3487315)		amsterdam 		amsterdam 	46		maassluisstraat 414-416	1965	1300	1100	5-6	88%	"
"
vlaardingenlaan 1	vlaardingenlaan_1_1		0000-00-00 00:00:00	vlaardingenlaan 1			POINT(4.845013 52.3464937)		amsterdam 		amsterdam 	49		vlaardingenlaan 1	1977	2100	2100	2-3	100%	"
"
derkinderenstraat 2-24	derkinderenstraat_2_24_1		0000-00-00 00:00:00	derkinderenstraat 2-24			POINT(4.8410123 52.3591391)		amsterdam 		amsterdam 	50	trivium	derkinderenstraat 2-24	2000	9400	5700	2-6	61%	"
"
jan tooropstraat 109	jan_tooropstraat_109_1		0000-00-00 00:00:00	jan tooropstraat 109			POINT(4.8364893 52.3647835)		amsterdam 		amsterdam 	51		jan tooropstraat 109	1962	3300	3300	3-4	100%	"
"
hageland 132-134	hageland_132_134_1		0000-00-00 00:00:00	hageland 132-134			POINT(4.8121469 52.3452368)		amsterdam 		amsterdam 	52	hageland	hageland 132-134	2002	1100	1100	2-3	100%	"
"
