Trcid	Title	Shortdescription	Longdescription	Calendarsummary	TitleEN	ShortdescriptionEN	LongdescriptionEN	CalendarsummaryEN	Types	Ids	Locatienaam	City	Adres	Zipcode	Latitude	Longitude	Urls	Media	Thumbnail	Datepattern_startdate	Datepattern_enddate	Singledates	Lastupdated
9c91b4f2-4cac-4323-b54b-44f8d0742b8b	Step & Ko	Voor een sportief, creatief of culinair arrangement ben je bij Step & Ko aan het juiste adres.   	<div>Op diverse  locaties verzorgt Step &amp: Ko inspannende, ontspannende activiteiten. Voorop staan  veiligheid, buiten zijn, leren en plezier maken. De instructie en  uitvoering worden aangepast aan het niveau en de wensen van de deelnemers.</div> <a href=&quot:http://www.stepenko.nl/nieuws.html&quot:></a> <div><br /> </div>		Step & Ko	For a sporty, creative or culinary arrangement head to Step & Ko. In the hands of professional instructors, you can choose between relaxing or strenuous activities on land or water (such as on bikes, scooters, canoes or rafts). Safety is paramount but fun is always guaranteed for participants of all fitness levels.			Fietsverhuurbedrijf,Arrangement	4.3.4,2.11.1	Step & Ko	SANTPOORT-ZUID	Vinkenbaan 10	2082 EP	52,419278	4,629044	http://www.stepenko.nl	http://media.iamsterdam.com/ndtrc/Images/20110217/70eb95da-d6c5-4cb3-8864-415411113c03.jpg	http://media.iamsterdam.com/ndtrc/Images/20110217/70eb95da-d6c5-4cb3-8864-415411113c03.jpg				2013-12-16 19:03:56
902a1c8c-0b0b-41a4-b4cd-30ad38a02ef8	Kaasboerderij de Jacobs Hoeve	Henri Willig - Kaasboerderij de Jacobs Hoeve is gelegen op een unieke landelijke locatie. Een professionele demonstratie, in diverse talen, informeert de bezoeker over de wijze waarop kaas wordt gemaakt. De Jacobs Hoeve biedt groepen van 20 tot 100 gasten de gelegenheid om een bezoek aan de kaasboerderij te combineren met een hapje en een drankje of een heerlijke maaltijd. Particuliere bezoekers kunnen zonder afspraak langskomen tijdens de openingstijden. 	<strong>Kaas</strong><br /> Naast de wereldberoemde Edammer kaas en Gouda kaas maakt Henri Willig schapen- en geitenkaas.<br /> <br /> <strong>Jacobs Eetkamer</strong><br /> In Jacobs Eetkamer kan het team van de Jacobs Hoeve groepen van 20 tot 100 gasten verwennen met een eigen onovertroffen kaasplateau, begeleid door mooie wijnen. Voor de meer stevige trek kunnen de gasten genieten van een echte boerenlunch of van een Hollandse stamppot. Het mooie uitzicht over het polderlandschap, de sfeervolle aankleding met oude Edammer kaasplanken en de heerlijke maaltijd, maken dat een bezoek aan Jacobs Eetkamer de gasten een blijvende herinnering zal geven.<br /> <br /> <strong>Activiteiten</strong><br /> &bull: Naast Jacobs Eetkamer ligt Jacobs Filmzaal. Hier kan men de gasten een interessante film tonen over de productie van kaas in het heden en in het verleden. De film kan worden vertoond in diverse talen.<br /> &bull: Ook organiseert het team speciale ludieke activiteiten zoals bijvoorbeeld een kaasproefwedstrijd, oud Hollandse spelletjes, kaas- en wijn proeverijen en zelfs een workshop klompen schilderen.<br /> <br /> <strong>Extra</strong><br /> Reisorganisaties kunnen een bus bezoek aan de kaasboerderij tot kort tevoren aangeven.	Zaterdag 1 maart 2014 t/m zondag 30 november 2014 ma-zo: 08:30 - 18:00 uur Toelichting: maanden december, januari en februari gesloten.	Kaasboerderij de Jacobs Hoeve	Henri Willig is a farm where cheese is made in the traditional way. Besides producing the famous Gouda cheese, they also make goat?s and sheep?s milk cheese. This cheese made every single day using old-fashioned methods. Henri Willig offers free tours of their farm. Naturally you will also have a chance to taste their cheese, as well as pay a visit the goats and sheep that supply the milk. 	Henri Willig cheese farm also offers special activities for groups from 10 to 200 people. You can combine your visit with a homemade farmer's lunch, a workshop, a business meeting and an interesting film about cheese production.	Saturday 1 March 2014 including Sunday 30 November 2014 Mo -Su: 08:30 - 18:00 hour.	Bedrijf te bezoeken,Arrangement	2.2.2,2.11.1	Kaasboerderij de Jacobs Hoeve	KATWOUDE	Hoogedijk 8	1145 PM	52,466943	5,043777	http://www.cheesefarms.com	http://media.iamsterdam.com/ndtrc/Images/20110218/50b4bad4-13de-4b99-89e5-b9a918a1949b.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/b5719f17-1dfc-45d1-82d0-491cdd9e1573.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/b6cb2a35-4069-482c-babc-ff13cb42d420.jpg	http://media.iamsterdam.com/ndtrc/Images/20110218/50b4bad4-13de-4b99-89e5-b9a918a1949b.jpg	01-03-2014	30-11-2014		2013-12-19 15:13:20
5878801a-3982-44dc-8247-0e733699da98	Landgoed De Olmenhorst	Landgoed De Olmenhorst in Lisserbroek is een groene oase in de drukte van de Randstad. Het historische landgoed is gespecialiseerd in biologische producten. Geniet van een wandeling door de boomgaarden en strijk daarna neer op het terras van het Appelcafé voor koffie, lunch of high tea. 	<strong>'Groene' appels<br /> </strong>In de landgoedwinkel vind je een groot assortiment aan duurzame natuurvoedingsproducten, zoals biologische appels en peren uit eigen gaard. Landgoed De Olmenhorst is ook een prachtige locatie voor feesten, evenementen en workshops.	ma-vr: 10:00 - 18:00 uur za: 09:00 - 17:00 uur zo: 11:00 - 17:00 uur	Landgoed De Olmenhorst	Landgoed de Olmenhorst (Olmenhorst estate) is a green oasis that can be found in Lisserbroek, a village located north of Leiden. This historic estate now specialises in organic products. Take a stroll through its lush orchard or enjoy a meal or high tea on the terrace at Het Appelcafé, an on-site restaurant. 	<strong>Green &amp: organic<br /> </strong>The estates' shop sells a wide range of health food and other items, including organic apples and pears from the orchard. In addition, the estate hosts birthday parties, events and workshops.	Mo -Fr : 10:00 - 18:00 hour Sa : 09:00 - 17:00 hour Su: 11:00 - 17:00 hour	Bedrijf te bezoeken,Arrangement	2.2.2,2.11.1	Landgoed De Olmenhorst	LISSERBROEK	Lisserweg 481	2165 AS	52,251169	4,592816	http://www.olmenhorst.nl	http://media.iamsterdam.com/ndtrc/Images/20110218/2e1f8444-4264-4c18-96c6-77793a156a90.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/b50e680c-3b9e-4b21-9371-944b0b08aa39.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/af3689da-04c2-41f5-93f4-3249bea8db27.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/ff7f249e-ec6f-43f9-bdc4-68845f3aa069.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/5de91477-54b8-4369-b757-c9ac1b2ef313.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/777a939f-1782-4805-a4fd-de3dfc08c997.jpg	http://media.iamsterdam.com/ndtrc/Images/20110218/2e1f8444-4264-4c18-96c6-77793a156a90.jpg	07-03-2012			2014-01-09 13:55:57
7ee89abd-ef4e-46fb-b713-a4bc6689d2ad	Polder Sport De Kwakel	Bij Poldersport De Kwakel kunt u terecht voor een sportief bedrijfsuitje, teamtraining, vrijgezellenfeest of kinderpartijtje. Er zijn diverse activiteiten mogelijk zoals Poldersurvival, Boerengolf, Kanotocht, Zeskamp, Kwakelse-Highlandgames en nog veel meer.			Polder Sport De Kwakel				Overige buitensport,Arrangement	2.8.11,2.11.1	Polder Sport De Kwakel	DE KWAKEL	Boterdijk 91	1424 ND	52,240062	4,805672		http://media.iamsterdam.com/ndtrc/Images/20110218/2840cfd5-5740-4dbc-bd03-82dc04d0be50.jpg	http://media.iamsterdam.com/ndtrc/Images/20110218/2840cfd5-5740-4dbc-bd03-82dc04d0be50.jpg				2013-12-16 20:27:47
e51dee1b-ae32-49b6-b7f4-c786ef7b106b	Rondleiding Imkerij Polderbijen	Een mooie rondleiding van 2 uur door de Imkerij Polderbijen. Hier kom je alles te weten over bijen en de producten die dit beestje voor ons maakt. De verschillende soorten honing kun je proeven. 	In de boerenschuur is een precentatie te zien over &quot:De Bij en Wij&quot:. Er zijn bijenwas kaarsen en andere producten. De rondleiding wordt gegeven door Imker Lydia Klok. Je kunt bij de Imkerij honing, bijenwas kaarsen en cadeauverpakkingen kopen. <br /> <br /> Rondleiding vanaf 6 tot 32 personen. Kosten ? 7,50 per persoon koffie en thee of limonade gratis. 		Familie Klok	 Workshop &quot:Bijenwas kaarsen maken&quot:.    Deze Workshop is geschikt voor groepen vanaf 6 tot 20 personen.Duur 2 uur.     Imker Lydia vertelt u hoe de bijen die zuivere was dan wel maken. En u krijgt een korte uitleg over de bijen zelf en daarna gaat u aan de slag en u maakt 2 prachtige kaarsen.    Ook proeft u de verschillende soorten honing. Kijk alvast op www.polderbijen.nl    Kosten : ? 7,50 per persoon koffie en thee of limonade gratis.    Contact: email: klok0305@planet.nl    Geschikt voor 5 tot 75 jaar vrienden groepen en of feestjes [kinderfeestjes]. 	 Workshop &quot:Bijenwas kaarsen maken&quot:.    Deze Workshop is geschikt voor groepen vanaf 6 tot 20 personen.Duur 2 uur.     Imker Lydia vertelt u hoe de bijen die zuivere was dan wel maken. En u krijgt een korte uitleg over de bijen zelf en daarna gaat u aan de slag en u maakt 2 prachtige kaarsen.    Ook proeft u de verschillende soorten honing. Kijk alvast op www.polderbijen.nl    Kosten : ? 7,50 per persoon koffie en thee of limonade gratis.    Contact: email: klok0305@planet.nl    Geschikt voor 5 tot 75 jaar vrienden groepen en of feestjes [kinderfeestjes].           		Bedrijf te bezoeken,Arrangement	2.2.2,2.11.1	Familie Klok	WIJDEWORMER	Noorderweg 100	1456 NK	52,492763	4,872168	http://www.polderbijen.nl	http://media.iamsterdam.com/ndtrc/Images/20110218/d0f9b148-e81a-4492-9d75-b6e17e9f3238.jpg	http://media.iamsterdam.com/ndtrc/Images/20110218/d0f9b148-e81a-4492-9d75-b6e17e9f3238.jpg				2013-12-16 20:30:30
45a2eace-62c9-41ce-ae59-0ba613209187	Bezoekboerderij Kastanjehoeve/ Dairyfarm	Een leuk idee voor uw bedrijfsuitje is om onze koeknuffel boerderij &quot:de kastanjehoeve&quot: te bezoeken. Er is een ontvangstruimte met uitzicht op de veestalling. Een bedrijfs borrel of lunch behoort ook tot de mogelijkheden.	Op verzoek zijn er verschillende programma's te realiseren.<br /> Slecht weer is geen probleem aangezien alle activiteiten ook binnen gehouden kunnen worden. <br /> <br /> Voor kinderen hebben wij een speciaal programma aangepast aan de leeftijd:<br /> &nbsp:Vanzelfsprekend zijn koe knuffelen en de rondleiding vaste onderdelen van dit arrangement.&nbsp:<br /> Afhankelijk van de interesse van de kinderen is er de mogelijkheid om uit de volgende opties te kiezen:&nbsp:<br /> Schilderen, tekenen, speurtocht, beachvolleybal en ski-lopen<br /> &nbsp:<br /> Normaal wordt het programma afgesloten met iets te drinken en wat lekkers. U kunt er ook voor kiezen dit te vervangen door patat met kroket of frikadel en/of ijs. <br /> <br /> Voor het maken van een passend arrangement neem gerust contact met ons op zodat we samen een programma kunnen samenstellen		Bezoekboerderij Kastanjehoeve/ Dairyfarm				Bedrijf te bezoeken,Arrangement,Kinderfeestjes,Natuur en Recreatie	2.2.2,2.11.1,2.11.6,2.11.12	Bezoekboerderij Kastanjehoeve/ Dairyfarm	BEETS NH	Beets 100	1475 JH	52,584880	4,969330	http://www.kastanje-hoeve.nl	http://media.iamsterdam.com/ndtrc/Images/20110218/0170709b-2de0-4a84-ac58-eb1af9b9feb6.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/68ad36e6-72c2-4ba0-b871-fb8e8e02d4a0.jpg	http://media.iamsterdam.com/ndtrc/Images/20110218/0170709b-2de0-4a84-ac58-eb1af9b9feb6.jpg				2013-12-16 20:32:58
6e0c19fa-45ce-49df-bdc6-eb1ae9812106	De Klaverhoeve	We hebben veel aandacht voor natuur op het bedrijf. Er wordt aan vrijwillig weidevogelbeheer gedaan. Nesten van o.a. kievit, scholekster, tureluur en grutto worden beschermd. De slootkanten worden bloemrijker gemaakt en gehouden, er zijn terrastaluds aangelegd voor vele soorten bloemen en kruiden. Ridderzuring en stekels komen pleksgewijs voor. Deze worden met een spade uitgestoken of met de stekeltrekker eruit getrokken.  30 ha van het land wordt gebruikt voor particulier natuurbeheer. 	De mooie rietkragen langs de sloten en het wijdse uitzicht is voor iedereen toegankelijk d.m.v. een prachtig wandelpad dat voert van het begin van Warder tot aan de oude molen in Etersheim. Hierbij loopt u een groot gedeelte over ons weiland en met een beetje geluk gezellig tussen de koeien door. Door 2 trekpontjes kunt u brede vaarten oversteken om daarna weer lekker verder te wandelen. <br />		De Klaverhoeve				Bedrijf te bezoeken,Arrangement	2.2.2,2.11.1	De Klaverhoeve	OOSTHUIZEN	Oosteinde 70	1474 ME	52,578560	5,008957	http://www.klaverhoeve.com	http://media.iamsterdam.com/ndtrc/Images/20110218/00dc3ffd-50f0-4519-9e10-903510f83320.jpg	http://media.iamsterdam.com/ndtrc/Images/20110218/00dc3ffd-50f0-4519-9e10-903510f83320.jpg				2013-12-16 20:34:16
9e948bdb-a623-497c-a3a5-c2c88e2f5f95	De Simonehoeve	Om het echte Oudhollandse gevoel te ervaren breng je een bezoek aan De Simonehoeve, een originele kaasboerderij en klompenmakerij in Volendam. De familie Klomp en het professionele personeel houden de Nederlandse ambachten in stand, dragen het hele jaar traditionele klederdracht en demonstreren ambachtelijk handwerk. 	<strong>Kaas, klompen en Oudhollandse folklore</strong><br /> Of het nu een bedrijfsuitje, familiedag of een rondleiding met een grotere groep betreft, de boerderij is gespecialiseerd in het delen van hun vaardigheden. Zo zijn er diverse demonstraties, kaasproeverijen en is er de mogelijkheid tot klompen passen. Het bedrijf organiseert ook workshops en activiteiten, zoals klomp versieren, rondleidingen in Volendam, high tea&rsquo:s of een middag vol Oudhollandse spellen. Op het terrein zit een gezellig restaurant (voor ontbijt, lunch, diner of buffet) en een winkel met talloze lokale producten, Delftsblauw aardewerk en eten &amp: drinken dat je ook gratis kunt proeven.<br /> <br /> <strong>Openingstijden<br /> </strong>Van april t/m augustus dagelijks geopend van 08:00 tot 18:00<br /> Van september t/m maart dagelijks geopend van 08:00 tot 17:00 uur<br /> Het gehele jaar geopend.<br /> <br /> Voor een bezoek na 17:00 uur of een bezoek buiten de openingstijden, neem eerst contact op met de Simonehoeve.&nbsp:	Toelichting: vanaf 1 april t/m 31 augustus ma/zo van 8.00-18.00 en op verzoek ook op andere tijden open.	De Simonehoeve	For an old-time Dutch experience visit De Simonehoeve, a traditional cheese farm and clog maker in the town of Volendam. The Klomp family and their professional staff keep alive these Dutch crafts, dressing in traditional costumes throughout the year and demonstrating their artisan skills.	<strong>Cheese, clogs and living<br /> </strong>Dutch history Be it a family day trip or a larger group tour, the farm specialises in sharing knowledge, firstly through cheese tastings and providing visitors the opportunity to try on wooden clogs. But it also hosts workshops and tours, for example, clog painting, tours of Volendam, high teas or an afternoon of old Dutch games. There&rsquo:s also a cosy restaurant on the property (for breakfast, lunch, dinner or buffets) and a shop offering lots of local produce, Delftware and food and drink that you can sample for free.<br /> <br /> <strong>Opening times</strong><br /> April - August daily 08.00 -  18.00<br /> September -  March daily 08.00 - 17.00 <br /> <br /> For a visit after 17.00 or outside regular opening times, please contact Simonehoeve.		Bedrijf te bezoeken,Arrangement,Restaurant,Voeding/drank,Cadeau,Streekproducten	2.2.2,2.11.1,3.1.1,4.6.7,4.6.8,4.7.2	De Simonehoeve	KATWOUDE	Wagenweg 2	1145 PW	52,488036	5,034456	http://www.simonehoeve.com	http://media.iamsterdam.com/ndtrc/Images/20110218/96bd4c93-d6f0-4de5-ae0e-b64dfcca767e.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/2583d3c8-27a2-4746-8b34-84371fd03646.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/0852426a-d2cb-483f-9774-b2d5c856d86d.jpg,http://media.iamsterdam.com/ndtrc/Images/20110218/8062e066-d53c-47a6-824c-4a4f8b04087f.jpg	http://media.iamsterdam.com/ndtrc/Images/20110218/96bd4c93-d6f0-4de5-ae0e-b64dfcca767e.jpg				2014-03-13 13:05:37
7c2fc059-a3b1-494f-bd87-f07493ac5726	Arrangement 'Beleef de Bazel - Cultuur & Culinair'	Het arrangement ziet er als volgt uit: Koninklijke ontvangst in Café De Bazel met koffie en Wilhelmina taart. Daarna maak je samen met een deskundige gids een geanimeerde rondwandeling door het mooie gebouw waarbij je veel hoogtepunten te zien krijgt zoals de voormalige bestuurskamers en de Schatkamer met de fraaie fresco's in Art Nouveau stijl. Ook het leven van architect De Bazel en de kunsthistorische context komen aan de orde. Na de excursie staat een royale Afternoon Tea voor je klaar.		Toelichting: Tours alleen mogelijk op afspraak.	Package 'Experience de Bazel - Culture & Culinary'	The package includes the following: Royal reception at café De Bazel with coffee and Wilhelmina pie. A qualified guide will enthusiastically guide you through the gorgeous building with highlight such as the Treasure Room and the beautiful Art Nouveau frescos. After the excursion the Afternoon Tea will be served.			Arrangement	2.11.1		AMSTERDAM	Vijzelstraat 32	1017 HL	52,365381	4,892824	http://www.debazelamsterdam.nl	http://media.iamsterdam.com/ndtrc/Images/20110223/f6ac3a05-42a3-4f21-8118-134bbddf3e3c.jpg	http://media.iamsterdam.com/ndtrc/Images/20110223/f6ac3a05-42a3-4f21-8118-134bbddf3e3c.jpg				2013-12-17 00:49:11
7293ea6f-869d-45e8-8943-1a0f035ad309	Ontdek de mooie Zaanstreek op de fiets	Beleef de Zaanstreek op de fiets. Aan de hand van een bijzondere fietsroute kom je op unieke plekken van deze mooie streek.	Langs de rivier, over bruggen, door het industrieel erfgoed, kortom: een unieke belevenis! Snuif de cultuur en geschiedenis op bij de bezoeken van diverse musea.<br /> <strong><br /> Arrangement</strong><br /> - Ontvangst met koffie/thee en lekkernij bij Brevent<br /> - Fietsroute door het unieke landschap van de Zaanstreek<br /> - Bezoek aan de Zaanse Schans (kaasmakerij/klompenmakerij)<br /> - Luxe lunchpakket<br /> - Bezoek aan een Zaanse molen<br /> -&nbsp:Entree historisch museum<br /> - Saense Hightea bij Brevent<br /> <br /> Bovenstaand arrangement, georganiseerd door Brevent, is te reserveren voor groepen vanaf 10 personen. Het arrangement is exclusief en inclusief fietsen te boeken.<br /> <br /> Prijs exclusief fietsen: &euro: 49,50 per persoon.<br /> Prijs inclusief fietsen: &euro: 64,50 per persoon.		Discover the beautiful Zaanstreek by bike	Discover the Zaanstreek by bike! A special bike route will show you all the unique locations of this beautiful region. A special package is available for groups of 10 persons and up. This includes a bike ride, a visit to the Zaanse Schans, lunch, entrance to the historic museum and more! It can be booked including, and excluding, bike rental.			Arrangement,Excursie	2.11.1,2.11.2		ZAANDAM	Dam 32A	1506 BE	52,438897	4,823896	http://www.brevent.nl	http://media.iamsterdam.com/ndtrc/Images/20110228/7d2e93cf-cfee-486f-a323-77c07ca62721.jpg	http://media.iamsterdam.com/ndtrc/Images/20110228/7d2e93cf-cfee-486f-a323-77c07ca62721.jpg				2013-12-17 01:14:09
